class_name,java_class_name,method_count,total_code_size,incoming_project_calls,outgoing_project_calls,outgoing_external_calls
Lcom/example/android/architecture/blueprints/todoapp/BuildConfig;,com.example.android.architecture.blueprints.todoapp.BuildConfig,2,13,0,0,2
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-1$1$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-1$1,5,170,3,7,10
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-2$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-2$1$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-2$1;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-2$1,5,165,3,8,10
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt,5,103,4,5,4
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ActivityCBuilder$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityCBuilder$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ActivityCBuilder;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityCBuilder,7,116,5,9,4
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ActivityCImpl$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityCImpl$$ExternalSynthetic$Condy0,1,35,8,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ActivityCImpl;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityCImpl,10,234,5,19,13
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCBuilder$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCBuilder$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCBuilder;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCBuilder,7,112,5,9,4
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl$SwitchingProvider$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl$SwitchingProvider$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl$SwitchingProvider;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl$SwitchingProvider,3,69,2,2,4
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl,6,107,4,9,3
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$Builder$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$Builder$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$Builder;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$Builder,5,78,5,5,4
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$FragmentCBuilder$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$FragmentCBuilder$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$FragmentCBuilder;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$FragmentCBuilder,7,120,5,9,4
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$FragmentCImpl$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$FragmentCImpl$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$FragmentCImpl;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$FragmentCImpl,5,80,3,7,1
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ServiceCBuilder$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ServiceCBuilder$$ExternalSynthetic$Condy0,1,35,5,1,0
