signature,class_name,java_class_name,method_name,descriptor,access_flags,is_external,is_project_method,code_size,incoming_project_calls,outgoing_project_calls,outgoing_external_calls,reachable_from_manifest_entry,core_score
Lcom/example/android/architecture/blueprints/todoapp/BuildConfig;-><clinit>()V,Lcom/example/android/architecture/blueprints/todoapp/BuildConfig;,com.example.android.architecture.blueprints.todoapp.BuildConfig,<clinit>,()V,static constructor,False,True,9,0,0,1,False,2
Lcom/example/android/architecture/blueprints/todoapp/BuildConfig;-><init>()V,Lcom/example/android/architecture/blueprints/todoapp/BuildConfig;,com.example.android.architecture.blueprints.todoapp.BuildConfig,<init>,()V,public constructor,False,True,4,0,0,1,False,2
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$$ExternalSynthetic$Condy0,get,()Ljava/lang/Object;,public static synthetic,False,True,35,4,1,0,True,21
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-1$1$$ExternalSynthetic$Condy0,get,()Ljava/lang/Object;,public static synthetic,False,True,35,4,1,0,False,17
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1;->$jacocoInit(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-1$1,$jacocoInit,(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,public static synthetic,False,True,14,1,0,1,False,8
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1;-><clinit>()V,Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-1$1,<clinit>,()V,static constructor,False,True,19,0,2,0,False,7
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1;-><init>()V,Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-1$1,<init>,()V,constructor,False,True,14,1,1,1,False,7
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1;->invoke(Landroidx/compose/runtime/Composer; I)V,Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-1$1,invoke,(Landroidx/compose/runtime/Composer; I)V,public final,False,True,96,1,2,7,False,31
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1;->invoke(Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-1$1;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-1$1,invoke,(Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,public bridge synthetic,False,True,27,0,2,1,False,20
Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-2$1$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/ComposableSingletons$TodoActivityKt$lambda-2$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-2$1$$ExternalSynthetic$Condy0,get,()Ljava/lang/Object;,public static synthetic,False,True,35,4,1,0,False,17
