caller_signature,caller_class,caller_method,callee_signature,callee_class,callee_method,callee_descriptor,bytecode_offset,callee_is_external,callee_is_project_method
Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule$$ExternalSynthetic$Condy0;,get,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;->$jacocoInit(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;,$jacocoInit,(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,32,False,True
Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;-><clinit>()V,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;,<clinit>,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule$$ExternalSynthetic$Condy0;,get,()Ljava/lang/Object;,0,False,True
Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;-><clinit>()V,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;,<clinit>,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;-><init>()V,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;,<init>,()V,16,False,True
Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;-><init>()V,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;,<init>,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule$$ExternalSynthetic$Condy0;,get,()Ljava/lang/Object;,0,False,True
Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;->providesCoroutineScope(Lkotlinx/coroutines/CoroutineDispatcher;)Lkotlinx/coroutines/CoroutineScope;,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;,providesCoroutineScope,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule$$ExternalSynthetic$Condy0;,get,()Ljava/lang/Object;,0,False,True
Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;->providesDefaultDispatcher()Lkotlinx/coroutines/CoroutineDispatcher;,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;,providesDefaultDispatcher,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule$$ExternalSynthetic$Condy0;,get,()Ljava/lang/Object;,0,False,True
Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;->providesIODispatcher()Lkotlinx/coroutines/CoroutineDispatcher;,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule;,providesIODispatcher,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule$$ExternalSynthetic$Condy0;,get,()Ljava/lang/Object;,0,False,True
Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory$$ExternalSynthetic$Condy0;,get,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory;->$jacocoInit(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory;,$jacocoInit,(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,32,False,True
Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory;-><init>(Ljavax/inject/Provider;)V,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory;,<init>,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory$$ExternalSynthetic$Condy0;,get,()Ljava/lang/Object;,0,False,True
Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory;->create(Ljavax/inject/Provider;)Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory;,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory;,create,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory;-><init>(Ljavax/inject/Provider;)V,Lcom/example/android/architecture/blueprints/todoapp/di/CoroutinesModule_ProvidesCoroutineScopeFactory;,<init>,(Ljavax/inject/Provider;)V,16,False,True
