caller,callee,call_count
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.Async$Success$$ExternalSynthetic$Condy0->$init(): void,1164
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.Async$$ExternalSynthetic$Condy0->$init(): void,895
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-5$1$$ExternalSynthetic$Condy0->$init(): void,833
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailViewModel_HiltModules_KeyModule_Provide_LazyMapKey$$ExternalSynthetic$Condy0->$init(): void,792
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$13$$ExternalSynthetic$Condy0->$init(): void,666
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$_filteredTasksAsync$1$$ExternalSynthetic$Condy0->$init(): void,623
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel_HiltModules$KeyModule$$ExternalSynthetic$Condy0->$init(): void,615
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-14$1$$ExternalSynthetic$Condy0->$init(): void,525
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCBuilder$$ExternalSynthetic$Condy0->$init(): void,518
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules_KeyModule_Provide_LazyMapKey$$ExternalSynthetic$Condy0->$init(): void,472
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$7$$ExternalSynthetic$Condy0->$init(): void,370
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$3$$ExternalSynthetic$Condy0->$init(): void,317
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$special$$inlined$map$2$2$1$$ExternalSynthetic$Condy0->$init(): void,299
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel_HiltModules_BindsModule_Binds_LazyMapKey$$ExternalSynthetic$Condy0->$init(): void,280
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.TodoThemeKt->$init(): void,271
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$$ExternalSynthetic$Condy0->$init(): void,263
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCBuilder$$ExternalSynthetic$Condy0->$init(): void,248
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl$SwitchingProvider$$ExternalSynthetic$Condy0->$init(): void,232
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$2$$ExternalSynthetic$Condy0->$init(): void,232
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ActivityRetainedC$$ExternalSynthetic$Condy0->$init(): void,220
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-8$1$$ExternalSynthetic$Condy0->$init(): void,211
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$$ExternalSynthetic$Condy0->$init(): void,204
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1$$ExternalSynthetic$Condy0->$init(): void,200
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-5$1$$ExternalSynthetic$Condy0->$init(): void,173
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposeUtilsKt->$init(): void,171
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$2$$ExternalSynthetic$Condy0->$init(): void,166
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt->$init(): void,158
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$1$$ExternalSynthetic$Condy0->$init(): void,146
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-4$1$$ExternalSynthetic$Condy0->$init(): void,145
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.TodoDrawerKt$DrawerButton$1$$ExternalSynthetic$Condy0->$init(): void,140
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-3$1$$ExternalSynthetic$Condy0->$init(): void,137
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.statistics.StatisticsViewModel_HiltModules_KeyModule_Provide_LazyMapKey$$ExternalSynthetic$Condy0->$init(): void,136
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenKt->$init(): void,135
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.CoroutinesUtilsKt->$init(): void,132
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.di.CoroutinesModule$$ExternalSynthetic$Condy0->$init(): void,130
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-2$1$$ExternalSynthetic$Condy0->$init(): void,130
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksUiState$$ExternalSyntheticBackport0->$init(): void,124
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.TodoDrawerKt$AppDrawer$1$$ExternalSynthetic$Condy0->$init(): void,118
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-11$1$$ExternalSynthetic$Condy0->$init(): void,112
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-8$1$$ExternalSynthetic$Condy0->$init(): void,107
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.Async$Loading$$ExternalSynthetic$Condy0->$init(): void,105
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksFilterType$$ExternalSynthetic$Condy0->$init(): void,104
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-2$1$$ExternalSynthetic$Condy0->$init(): void,96
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$5$$ExternalSynthetic$Condy0->$init(): void,95
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$_filteredTasksAsync$3$$ExternalSynthetic$Condy0->$init(): void,92
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCImpl$SwitchingProvider$$ExternalSynthetic$Condy0->$init(): void,90
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-1$1$$ExternalSynthetic$Condy0->$init(): void,82
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-18$1$$ExternalSynthetic$Condy0->$init(): void,82
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$$ExternalSynthetic$Condy0->$init(): void,77
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$5$4$1$$ExternalSynthetic$Condy0->$init(): void,68
