method_id,class_name,method_name,call_count
com.example.android.architecture.blueprints.todoapp.util.Async$Success$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.Async$Success$$ExternalSynthetic$Condy0,$init,1164
com.example.android.architecture.blueprints.todoapp.util.Async$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.Async$$ExternalSynthetic$Condy0,$init,895
com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-5$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-5$1$$ExternalSynthetic$Condy0,$init,833
com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailViewModel_HiltModules_KeyModule_Provide_LazyMapKey$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailViewModel_HiltModules_KeyModule_Provide_LazyMapKey$$ExternalSynthetic$Condy0,$init,792
com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$13$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$13$$ExternalSynthetic$Condy0,$init,666
com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$_filteredTasksAsync$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$_filteredTasksAsync$1$$ExternalSynthetic$Condy0,$init,623
com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel_HiltModules$KeyModule$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel_HiltModules$KeyModule$$ExternalSynthetic$Condy0,$init,615
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-14$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-14$1$$ExternalSynthetic$Condy0,$init,525
com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCBuilder$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCBuilder$$ExternalSynthetic$Condy0,$init,518
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules_KeyModule_Provide_LazyMapKey$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules_KeyModule_Provide_LazyMapKey$$ExternalSynthetic$Condy0,$init,472
com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$7$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$7$$ExternalSynthetic$Condy0,$init,370
com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$3$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$3$$ExternalSynthetic$Condy0,$init,317
com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$special$$inlined$map$2$2$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$special$$inlined$map$2$2$1$$ExternalSynthetic$Condy0,$init,299
com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel_HiltModules_BindsModule_Binds_LazyMapKey$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel_HiltModules_BindsModule_Binds_LazyMapKey$$ExternalSynthetic$Condy0,$init,280
com.example.android.architecture.blueprints.todoapp.TodoThemeKt->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoThemeKt,$init,271
com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$$ExternalSynthetic$Condy0,$init,263
com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCBuilder$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCBuilder$$ExternalSynthetic$Condy0,$init,248
com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl$SwitchingProvider$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ActivityRetainedCImpl$SwitchingProvider$$ExternalSynthetic$Condy0,$init,232
com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$2$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$2$$ExternalSynthetic$Condy0,$init,232
com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ActivityRetainedC$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ActivityRetainedC$$ExternalSynthetic$Condy0,$init,220
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-8$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-8$1$$ExternalSynthetic$Condy0,$init,211
com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$$ExternalSynthetic$Condy0,$init,204
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1$$ExternalSynthetic$Condy0,$init,200
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-5$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-5$1$$ExternalSynthetic$Condy0,$init,173
com.example.android.architecture.blueprints.todoapp.util.ComposeUtilsKt->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposeUtilsKt,$init,171
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$2$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$2$$ExternalSynthetic$Condy0,$init,166
com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt,$init,158
com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$1$$ExternalSynthetic$Condy0,$init,146
