caller,callee,weight
com.example.android.architecture.blueprints.todoapp.MainCoroutineRule.starting,com.example.android.architecture.blueprints.todoapp.MainCoroutineRule.finished,1
com.example.android.architecture.blueprints.todoapp.TodoActivity.onCreate,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt.TodoNavGraph,1
com.example.android.architecture.blueprints.todoapp.TodoListManager.addTask,com.example.android.architecture.blueprints.todoapp.TodoListManager.clearTasks,1
com.example.android.architecture.blueprints.todoapp.TodoListManager.addTask,com.example.android.architecture.blueprints.todoapp.TodoListManager.containsTask,1
com.example.android.architecture.blueprints.todoapp.TodoListManager.addTask,com.example.android.architecture.blueprints.todoapp.TodoListManager.getTaskCount,1
com.example.android.architecture.blueprints.todoapp.TodoListManager.addTask,com.example.android.architecture.blueprints.todoapp.TodoListManager.removeTask,1
com.example.android.architecture.blueprints.todoapp.TodoListManagerTest.addTask_validTask_shouldAddSuccessfully,com.example.android.architecture.blueprints.todoapp.TodoListManagerTest.addTask_blankTask_shouldNotAdd,1
com.example.android.architecture.blueprints.todoapp.TodoListManagerTest.addTask_validTask_shouldAddSuccessfully,com.example.android.architecture.blueprints.todoapp.TodoListManagerTest.clearTasks_shouldRemoveAllTasks,1
com.example.android.architecture.blueprints.todoapp.TodoListManagerTest.addTask_validTask_shouldAddSuccessfully,com.example.android.architecture.blueprints.todoapp.TodoListManagerTest.removeTask_existingTask_shouldRemoveSuccessfully,1
com.example.android.architecture.blueprints.todoapp.TodoListManagerTest.addTask_validTask_shouldAddSuccessfully,com.example.android.architecture.blueprints.todoapp.TodoListManagerTest.removeTask_nonExistingTask_shouldReturnFalse,1
com.example.android.architecture.blueprints.todoapp.TodoListManagerTest.addTask_validTask_shouldAddSuccessfully,com.example.android.architecture.blueprints.todoapp.TodoListManagerTest.updateTask_existingTask_shouldUpdateSuccessfully,1
com.example.android.architecture.blueprints.todoapp.TodoListManagerTest.addTask_validTask_shouldAddSuccessfully,com.example.android.architecture.blueprints.todoapp.TodoListManagerTest.updateTask_nonExistingTask_shouldReturnFalse,1
com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt.TodoNavGraph,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenKt.AddEditTaskScreen,1
com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt.TodoNavGraph,com.example.android.architecture.blueprints.todoapp.statistics.StatisticsScreenKt.StatisticsScreen,1
com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt.TodoNavGraph,com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailScreenKt.TaskDetailScreen,1
com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt.TodoNavGraph,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt.TasksScreen,1
com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt.TodoNavGraph,com.example.android.architecture.blueprints.todoapp.util.TodoDrawerKt.AppModalDrawer,2
com.example.android.architecture.blueprints.todoapp.TodoScreens.navigateToTasks,com.example.android.architecture.blueprints.todoapp.TodoScreens.navigateToAddEditTask,1
com.example.android.architecture.blueprints.todoapp.TodoScreens.navigateToTasks,com.example.android.architecture.blueprints.todoapp.TodoScreens.navigateToStatistics,1
com.example.android.architecture.blueprints.todoapp.TodoScreens.navigateToTasks,com.example.android.architecture.blueprints.todoapp.TodoScreens.navigateToTaskDetail,1
com.example.android.architecture.blueprints.todoapp.TodoService.loadTasks,com.example.android.architecture.blueprints.todoapp.TodoService.addNewTask,1
com.example.android.architecture.blueprints.todoapp.TodoService.loadTasks,com.example.android.architecture.blueprints.todoapp.TodoService.deleteExistingTask,1
com.example.android.architecture.blueprints.todoapp.TodoServiceMockKTest.loadTasks_repositoryReturnsTasks_shouldReturnTaskList,com.example.android.architecture.blueprints.todoapp.TodoServiceMockKTest.addNewTask_blankTask_shouldNotCallRepository,1
com.example.android.architecture.blueprints.todoapp.TodoServiceMockKTest.loadTasks_repositoryReturnsTasks_shouldReturnTaskList,com.example.android.architecture.blueprints.todoapp.TodoServiceMockKTest.addNewTask_validTask_shouldCallRepository,1
com.example.android.architecture.blueprints.todoapp.TodoServiceMockKTest.loadTasks_repositoryReturnsTasks_shouldReturnTaskList,com.example.android.architecture.blueprints.todoapp.TodoServiceMockKTest.deleteExistingTask_blankTask_shouldNotCallRepository,1
com.example.android.architecture.blueprints.todoapp.TodoServiceMockKTest.loadTasks_repositoryReturnsTasks_shouldReturnTaskList,com.example.android.architecture.blueprints.todoapp.TodoServiceMockKTest.deleteExistingTask_validTask_shouldCallRepository,1
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenKt.AddEditTaskScreen,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenKt.AddEditTaskContent,2
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenKt.AddEditTaskScreen,com.example.android.architecture.blueprints.todoapp.util.TopAppBarsKt.AddEditTaskTopAppBar,1
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenTest.setup,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenKt.AddEditTaskScreen,1
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenTest.setup,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenTest.emptyTask_isNotSaved,1
