caller_package,callee_package,weight
com.example.android.architecture.blueprints.todoapp,com.example.android.architecture.blueprints.todoapp,21
com.example.android.architecture.blueprints.todoapp,com.example.android.architecture.blueprints.todoapp.addedittask,1
com.example.android.architecture.blueprints.todoapp,com.example.android.architecture.blueprints.todoapp.statistics,1
com.example.android.architecture.blueprints.todoapp,com.example.android.architecture.blueprints.todoapp.taskdetail,1
com.example.android.architecture.blueprints.todoapp,com.example.android.architecture.blueprints.todoapp.tasks,1
com.example.android.architecture.blueprints.todoapp,com.example.android.architecture.blueprints.todoapp.util,2
com.example.android.architecture.blueprints.todoapp.addedittask,com.example.android.architecture.blueprints.todoapp.addedittask,24
com.example.android.architecture.blueprints.todoapp.addedittask,com.example.android.architecture.blueprints.todoapp.data,1
com.example.android.architecture.blueprints.todoapp.addedittask,com.example.android.architecture.blueprints.todoapp.util,1
com.example.android.architecture.blueprints.todoapp.data,com.example.android.architecture.blueprints.todoapp.data,25
com.example.android.architecture.blueprints.todoapp.data.source.local,com.example.android.architecture.blueprints.todoapp.data.source.local,8
com.example.android.architecture.blueprints.todoapp.di,com.example.android.architecture.blueprints.todoapp.di,4
com.example.android.architecture.blueprints.todoapp.statistics,com.example.android.architecture.blueprints.todoapp.statistics,19
com.example.android.architecture.blueprints.todoapp.statistics,com.example.android.architecture.blueprints.todoapp.util,2
com.example.android.architecture.blueprints.todoapp.taskdetail,com.example.android.architecture.blueprints.todoapp.taskdetail,18
com.example.android.architecture.blueprints.todoapp.taskdetail,com.example.android.architecture.blueprints.todoapp.util,2
com.example.android.architecture.blueprints.todoapp.tasks,com.example.android.architecture.blueprints.todoapp,2
com.example.android.architecture.blueprints.todoapp.tasks,com.example.android.architecture.blueprints.todoapp.tasks,79
com.example.android.architecture.blueprints.todoapp.tasks,com.example.android.architecture.blueprints.todoapp.util,2
com.example.android.architecture.blueprints.todoapp.util,com.example.android.architecture.blueprints.todoapp,2
com.example.android.architecture.blueprints.todoapp.util,com.example.android.architecture.blueprints.todoapp.util,29
